사진,이름,학명,영명,과명,원산지,냄새,독성,관리수준,생장속도,생육온도,습도,비료,물주기,병충해 관리 정보,기능성정보,관리요구도,분류,생육형태,정원구성,생태,잎무늬,잎색,과일색,번식방법,광요구도,배치장소,병해충
http://www.nongsaro.go.kr/cms_contents/301/12990_MF_REPR_ATTACH_01_TMB.jpg,금목서,Osmanthus fragrans,"sweet Osmanthus, tea Osmanthus, sweet Olive",물푸레나무과,중국,강함,0,초보자,보통,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,"개각충 등 (깨끗한 용기에 심기, 가정과 온실 도입시 유의 제거)",땅에서부터 많은 줄기가 올라와 생울타리로 적당하다.,낮음 (잘 견딤),잎&꽃보기식물,관목형,"상층목,중층목",일반형,기타 (무늬없음 등),"녹색, 연두색",0,"파종,삽목","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/12994_MF_REPR_ATTACH_01_TMB.jpg,금사철나무,Euonymus japonica,goldheart euonymus,노박덩굴과,"한국, 중국, 일본",약함,0,0,보통,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,Skill Level: Beginner,보통 (약간 잘 견딤),잎보기식물,관목형,"중층목,하층목",일반형,잎 가장자리 무늬,"녹색, 연두색,금색, 노란색",0,삽목,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm),거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/12998_MF_REPR_ATTACH_01_TMB.jpg,금식나무,Aucuba japonica var. variegata,"Spottedlaurel,Japanese Aucuba, Japanese Laurel, Variegated (Japanese) Laurel",층층나무과,"한국 남해안, 일본 원산종의 원예품종",약함,0,초보자,느림,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,"민간요법으로 나무껍질과 잎을 뱀독이나 종기,화상 등에 약으로 쓰기도 한다.",낮음 (잘 견딤),"잎보기식물,열매보기식물",관목형,"상층목,중층목",일반형,점무늬,"녹색, 연두색,금색, 노란색",빨강색,삽목,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/13186_MF_REPR_ATTACH_01_TMB.jpg,금전수,Zamioculcas zamiifolia,"Eternity Plant, Fat Boy,Aroid Palm, Arum Fern, ZZ Plant",천남성과,"아프리카 동부(케냐), 남부",0,복용시 치명적 독성,초보자,느림,16~20℃,40 ~ 70%,"비료를 거의 요구하지않음 (1회/년, 봄)",토양 표면이 말랐을때 충분히 관수함,0,"그늘진 곳에서 잘 견디지만, 실내 밝은 간접광이 더 좋다. 환경 조건에 견디는 힘이 뛰어나고 과습한 상태에서 저온상태가 되면 뿌리가 썩기 쉽다. 수분이 많은 지하경을 가지고 광택이 있는 잎이 매력적이다.",낮음 (잘 견딤),잎보기식물,풀모양,하층목,건조형,기타 (무늬없음 등),"녹색, 연두색",0,"삽목,분주","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm),거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/13196_MF_REPR_ATTACH_01_TMB.jpg,금천죽,Dracaena sanderiana,"Belgian Evergreen, Lucky Bamboo",백합과,아프리카 카메룬,0,있음,초보자,느림,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,"포름알데히드, 벤젠, 톨루엔, 자일렌, 트리클로로 에틸렌",낮음 (잘 견딤),잎보기식물,관목형,"중층목,하층목","일반형,수경형",기타 (무늬없음 등),"녹색, 연두색",0,삽목,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/13199_MF_REPR_ATTACH_01_TMB.jpg,기누라,Gynura aurantiaca,"Purple-Passion Vine,Purple Velvet Plant, Royal Velvet Plant",국화과,"자바 원산 식물의 원예 품종, 멜라네시아",거의 없음,0,경험자,보통,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,0,필요함,잎보기식물,풀모양,하층목,일반형,기타 (무늬없음 등),"빨강, 분홍, 자주색",0,삽목,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,온실가루이"
http://www.nongsaro.go.kr/cms_contents/301/13201_MF_REPR_ATTACH_01_TMB.jpg,꽃베고니아,Begonia semperflorens,"Wax Begonias,Fibrous Begonia",베고니아과,브라질,거의 없음,0,경험자,빠름,21~25℃,70% 이상,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,관부썩음병,0,보통 (약간 잘 견딤),잎&꽃보기식물,풀모양,"하층목,지피식물",일반형,0,"녹색, 연두색,빨강, 분홍, 자주색",0,"파종,삽목","높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/13202_MF_REPR_ATTACH_01_TMB.jpg,나도풍란,Aerides japonica,The Japan Sedirea,난초과,한국 등 아시아,중간,0,경험자,느림,21~25℃,70% 이상,0,화분 흙 대부분 말랐을때 충분히 관수함,0,0,필요함,잎&꽃보기식물,로제트형,하층목,건조형,"줄무늬,잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색",0,"파종,기타","중간 광도(800~1,500 Lux)","발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/13203_MF_REPR_ATTACH_01_TMB.jpg,나한송,Podocarpus macrophyllus,"Buddhist Pine, Japanese(Southern) Yew, spreading yew,Yew Pine",나한송과,"중국, 일본",거의 없음,있음,초보자,느림,10~15℃,0,보통 요구함,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),0,나한송은 잎이 잘 떨어지거나 누렇게 변하지 않고 늘 푸르러 공기정화 효과가 좋다. 잎이 반질거리고 잎을 감상하기에 좋은 식물이다. 나한송 솔잎 모양에 화려하지 않지만 음지에서도 비교적 잘 자리고 자라는 속도는 늦어 실내용품으로 많이 애용하고 있다.,낮음 (잘 견딤),잎보기식물,"직립형,관목형","상층목,중층목",일반형,기타 (무늬없음 등),"녹색, 연두색",0,"파종,삽목","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/13206_MF_REPR_ATTACH_01_TMB.jpg,남천,Nandina domestica,"Heavenly bamboo, Sacred Bamboo",매자나무과,"한국, 일본, 중국남부",거의 없음,있음,초보자,보통,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,"꽃, 열매, 잎, 단풍이 모두 아름답고 실내의 동양적인 분위기에 잘 어울린다. 성숙한 열매를 남천실이라 하며 해수, 천식, 백일해, 간기능장애 등에 약제로 사용한다.",낮음 (잘 견딤),"잎보기식물,열매보기식물",관목형,"상층목,중층목",일반형,기타 (무늬없음 등),"녹색, 연두색,금색, 노란색,빨강, 분홍, 자주색","빨강색,오렌지색,흰색","파종,삽목","높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/13207_MF_REPR_ATTACH_01_TMB.jpg,네마탄투스,Nematanthus gregarius,"Goldfish Plant, Guppy Plant, Clog Plan",괭이밥과,브라질,거의 없음,0,경험자,보통,16~20℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,0,보통 (약간 잘 견딤),잎&꽃보기식물,"관목형,덩굴성","하층목,지피식물","일반형,건조형",기타 (무늬없음 등),"녹색, 연두색",0,삽목,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","진딧물,응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/13208_MF_REPR_ATTACH_01_TMB.jpg,네오레겔리아,Neoregelia carolinae,Blushing Bromeliad,파인애플과,브라질,0,0,경험자,보통,16~20℃,70% 이상,보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,"Soil Type: Use a GOOD rich potting soil (a soil that retains water yet drains well), such as an African violet mix. If you want to mix your own take: 1 part humus (leaf mold), 1 part peat and 1 part coarse sand or perlite. Always use a pot with a hole. General Description: The broad, verdant rosettes of this epiphytic bromeliad blush red at their center as they bloom. It is native to tropical forests of Brazil. Neoregelia carolinae produces evergreen rosettes of leathery, arching, strap-shaped leaves with finely toothed margins. The leaf bases at the center of the rosette form a tubular cup which catches and holds water. Mature rosettes bear tiny lavender blooms on dome-shaped flower heads that are held within the blushing 'water cup.' Rosettes die after flowering, producing offsets (pups) to take their place. This tropical tree-dweller loves humidity, warmth, and a moist, well-drained growing medium. Secure it to a tree branch in a tropical garden or greenhouse, or grow it in a porous potting mix that's rich in organic matter (such as sphagnum or pelleted bark). Keep the rosette 'cup' filled with water from spring to fall, especially if plants are exposed to direct sun rays. Water sparingly from late fall through winter. Blushing bromeliad makes a nice border accent or massed groundcover for frost-free gardens. Among the named selections of this bromeliad are 'Flandria,' with cream-edged leaves and bright scarlet centers. The leaves of variety tricolor have pale yellow and pink stripings. Usage-Container, Groundcover, Houseplant, Mixed Border, Tropical",필요함,잎&꽃보기식물,"풀모양,로제트형",하층목,일반형,"줄무늬,점무늬,기타 (무늬없음 등)","녹색, 연두색,흰색, 크림색,빨강, 분홍, 자주색",0,"분주,기타","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",응애
http://www.nongsaro.go.kr/cms_contents/301/13210_MF_REPR_ATTACH_01_TMB.jpg,녹영,Senecio rowleyanus,"String of Pearls,String-of-Beads",국화과,"나미비아, 서남 아프리카",약함,복용시 치명적 독성,경험자,0,16~20℃,40 ~ 70%,"비료를 보통 요구함 (2회/년, 4월, 7월)",화분 흙 대부분 말랐을때 충분히 관수함,0,실내 걸이용 화분이고 건조에 강한 식물이므로 겉흙이 완전히 마르면 관수한다. 사계절을 통하여 피는 작고 하얀 꽃이 파란 콩 모양의 잎과 더불어 귀엽다. 온도가 낮은 환경에서는 특별히 흙을 건조하게 관리하여야 한다.,필요함,선인장다육식물,덩굴성,지피식물,건조형,기타 (무늬없음 등),"녹색, 연두색",0,"삽목,분주","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",응애
http://www.nongsaro.go.kr/cms_contents/301/13218_MF_REPR_ATTACH_01_TMB.jpg,뉴기니아봉선화,Impatiens hybrid 'New Guinea',New Guinea impatiens,봉선화과,브라질 남부 원산종의 원예품종,거의 없음,0,초보자,보통,21~25℃,40% 미만,연중 개화하는 식물이므로 규칙적인 시비가 필요하다.,토양 표면이 말랐을때 충분히 관수함,"고온 건조할때 햇빛이 강한 곳에 두면, 잎이 떨어지거나 진딧물이 발생하므로 주의한다.","● 열대성 작물로 추위에 약한 다년생의 초본 또는 반 관목으로 반그늘에서도 생육 및 개화하 양호함 ● 초장은 일반적으로 30~60cm로 자라고 잎은 난형피침형으로 긴 잎자루가 있으며 화경이 겨드랑이에서 나오고 화경마다 2.5~4.0cm되는 꽃이 1~3개 핌 ● 생육적온은 20~25℃정도이고, 15℃이하가 되면 생육 및 착화가 둔화됨 ● 뉴기니아봉선화는 여름철을 대표하는 분화류 ● 5월에 모종을 구매해 햇빛이 잘 드는 실내에서 기르면 여름철 내내 꽃을 볼 수 있음 ● 속명은 라틴어의 impatience(참을 수 없는)에서 유래 ● 뉴기니아 봉선화의 개화에 대한 일장반응은 중성식물로 계절에 관계없이 잘 개화한다.",보통 (약간 잘 견딤),꽃보기식물,관목형,하층목,일반형,기타 (무늬없음 등),"녹색, 연두색,빨강, 분홍, 자주색",0,"파종,삽목","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","진딧물,응애,총채벌레,온실가루이"
http://www.nongsaro.go.kr/cms_contents/301/13333_MF_REPR_ATTACH_01_TMB.jpg,대만고무나무,Ficus retusa,"Indian Laurel, Malay Banyan, Glossy Leaf Fig, Chinese Banyan",뽕나무과,"중국남부, 인도, 세일론, 마카오, 필리핀, 보르네오, 말레이반도",0,0,경험자,보통,21~25℃,40 ~ 70%,비료를 보통 요구함,토양 표면이 말랐을때 충분히 관수함,0,"대만고무나무의 밑둥을 분재처럼 둥글게 재배한 종류를 ‘인삼벤자민’,‘가쥬마루’라 부른다. 환경에 빨리 적응하지 못하므로 갑자기 햇빛으로 내놓거나, 실내로 옮기면 잎이 많이 떨어지므로 서서히 적응기간을 두어 옮긴다. 상록 교목으로 자생지에서는 25cm정도 자라지만 온실 화분내에서는 1.2~1.8m 정도 자란다. 줄기에는 기근이 발생된다. 잎 길이는 5~10cm정도이며 비후하고 광택이 있다. 번식은 삽목 또는 고취법으로 행한다. 동일종 내에서도 잎이 크기가 다르며 형태차도 크다.",필요함,잎보기식물,"직립형,관목형","상층목,중층목",일반형,기타 (무늬없음 등),"녹색, 연두색",0,삽목,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm),거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/13335_MF_REPR_ATTACH_01_TMB.jpg,더피고사리,Nephrolepis cordifolia 'Duffii',Lemon Button Fern,고란초과,뉴질랜드,거의 없음,0,경험자,느림,16~20℃,70% 이상,비료를 보통 요구함,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),"습기가 많아서 민달팽이에 침해되기 쉬우므로 민달팽이가 붙으면 약을 뿌려 주도록 하고 과습에 의한 곰팡이병도 문제가 된다. 또, 건조할 때는 깍지벌레, 온실가루이, 가루깍지벌레 등이 발생한다.",더피고사리는 습한 것을 좋아하는 양치류로 늘 신선한 물로 산소가 필요하므로 생장기에는 물이 부족하지 않도록 관리해야 한다. 수분이 부족하게 되면 바로 잎끝이 상한다. 한번 말리면 회복이 힘들다. 여름철 청량감을 주는 외형으로 그린인테리어로 많이 활용되며 추위에 비교적 잘 견디는 식물이다.,낮음 (잘 견딤),잎보기식물,풀모양,하층목,일반형,기타 (무늬없음 등),"녹색, 연두색",0,"분주,기타","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm),거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
http://www.nongsaro.go.kr/cms_contents/301/13336_MF_REPR_ATTACH_01_TMB.jpg,덕구리난,Beaucarnea recurvata (Nolina tuberculata),"Elephants Foot, Bottle Palm, Ponytail Palm",백합과,멕시코,거의 없음,없음,초보자,느림,21~25℃,40% 미만,"비료를 거의 요구하지않음 (2회/년, 4월, 7월)",토양 표면이 말랐을때 충분히 관수함,0,"덕구리란(德久利蘭,nolina recurvata) 도꾸리란 (Beaucarnea recurvata) 줄기 밑동에 물을 많이 저장하여 술병처럼 부푼 모양으로 비대한 줄기에 수분을 저장하고 있어 과습한 경우에 줄기가 물러질 수 있다. 덕리(德利:돗쿠리)는 입구가 좁고 긴 술병(일본어) 모습을 하고 있어 붙여진 이름으로 덕구리난은 실내가 실내가 고온건조하고 햇빛이 잘 드는 곳에서 자란다. 반음지에서도 자라긴 하나 너무 음지에서 자라면 웃자라서 모양이 망가지니 햇빛을 충분히 받도록 해야 한다. 덕구리난은 봄부터 가을 사이에는 화분의 흙 표면이 마르면 물을 충분히 주고, 더운 시기에는 잎에 물을 주고 추운시기에는 흙을 좀더 건조하게 관리한다. 5~10월에 완효성비료를 2개월에 한번 주고, 습기가 많으면 깍지벌레가 발생하기 쉬우니 주의한다.",낮음 (잘 견딤),"잎보기식물,선인장다육식물","직립형,다육형",중층목,건조형,기타 (무늬없음 등),"녹색, 연두색",0,파종,"높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)","응애,깍지벌레"
